cpf,nome,ddd,cel,hora,data
01234567899;BRENO;11;123456789;9:22;1/12/2018
01234567890;BRENO;11;123456789;47:23;1/12/2018
01234567899;BRENO;11;123456789;49:23;1/12/2018
01234567899;BRENO;11;977300114;0:0;2/12/2018
01234567899;BRENO;11;123456789;2:0;2/12/2018
01234567890;BRENO;11;977300114;6:0;2/12/2018
01234567890;BRENO;11;977300114;8:0;2/12/2018
01234567890;BRENO;11;944634178;10:0;2/12/2018
01234567890;ELIANE;11;972117167;15:0;2/12/2018
01234567890;NOME TESTE;11;930036394;29:15;2/12/2018
01234567899;BRENO;11;930036394;32:15;2/12/2018
12345678900;NOME;11;930036394;34:15;2/12/2018
01234567899;TESTE;11;946545469;39:15;2/12/2018
01234567899;TESTE;11;987088707;10:16;2/12/2018
01234567890;CARLA;11;987088707;13:16;2/12/2018
01234567899;CARLA;11;987088707;15:16;2/12/2018
01234567899;CARLA;11;987088707;23:16;2/12/2018
01234567899;CARLA;11;987088707;28:16;2/12/2018
01234567899;CARLA;11;987088707;32:16;2/12/2018
01234567899;CARLA;11;987088707;37:16;2/12/2018
01234567890;CARLA;11;987088707;44:16;2/12/2018
01234567890;CARLA;11;987088707;8:17;2/12/2018
01234567899;CARLA;11;987088707;23:17;2/12/2018
01234567899;CARLA;11;987088707;25:17;2/12/2018
01234567899;CARLA;11;987088707;50:18;2/12/2018
01234567899;CARLA;11;987088707;58:18;2/12/2018
01234567899;TESTE;11;987088707;1:19;2/12/2018
01234567899;BRENO;11;977300114;3:19;2/12/2018
01234567890;BRENO;11;977300114;6:19;2/12/2018
12345678900;DDE;11;977300114;10:19;2/12/2018
01234567899;DEDE;11;977300114;13:19;2/12/2018
01234567899;FRFR;11;977300114;19:19;2/12/2018
01234567899;BRENO;11;977300114;21:19;2/12/2018
01234567899;DEDED;11;977300114;27:19;2/12/2018
01234567890;DEDE;11;977300114;37:19;2/12/2018
01234567899;BRENO;11;977300114;0:20;2/12/2018
01234567899;DEDE;11;977300114;5:20;2/12/2018
01234567899;DEDE;11;977300114;15:20;2/12/2018
01234567899;DEDE;11;123456789;16:20;2/12/2018
01234567890;BRENO;11;123456789;17:20;2/12/2018
01234567899;BRENO;11;123456789;18:20;2/12/2018
01234567890;DEEDED;11;123456789;21:20;2/12/2018
01234567899;HIGI;11;123456789;23:20;2/12/2018
01234567899;DEDEEEDE;11;123456789;27:20;2/12/2018
