pedido,cpf,qtdo,nome_produto,valor,estoque,extra

p100646;01234567899;3;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p20320;01234567890;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p30480;01234567890;5;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p69598;12345678900;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p2051;01234567899;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p6153;01234567899;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p20510;12345678900;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p43071;01234567899;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p55377;01234567899;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p32832;01234567899;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p36936;01234567899;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p43092;01234567890;1;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p47196;01234567899;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p55404;01234567899;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p69768;SEMCPF;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p73872;SEMCPF;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p92340;SEMCPF;1;MCFLURRY_OVOMALTINE_ROCKS;9.9;LIVRE;
p98496;SEMCPF;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
p104652;SEMCPF;2;MCFLURRY_PRESTÍGIO_MINI_COM_LEITE_EM_PÓ;10.99;LIVRE;
